"idBank";"Dernière mise à jour";"Unité";"Regroupement de produits";"Puissance";"Zone géographique";"Type de ménages";"﻿Base de l'indice";"Formes de vente de la grande distribution";"Périodicité";"Indicateur";"Série arrêtée";"Correction";"Nature";"Produit détaillé (COICOP 2016)"
"001759963";"16/09/2022 04:18";"sans objet";"Alimentation";"0";"France";"Ensemble des ménages";"2015";"Sans objet";"Mensuelle";"Indice des prix à la consommation (IPC)";"non";"Non corrigé";"Indice";"Sans objet"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
